epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,12671.4,0.41427,0.44387,0.19008,0.8141,0.9432,0.90643,0.95827,0.8848,0.94161,0.90469,0.95512,0.73428,0.4063,0.69744,0.40405,0.81431,0.002739,0.002739,0.002739
31,13076.4,0.42157,0.45654,0.19171,0.81733,0.99112,0.9906,0.9908,0.91962,0.99112,0.9906,0.9908,0.79247,0.38944,0.41831,0.1663,0.8071,0.00273,0.00273,0.00273
32,13604.3,0.42385,0.46495,0.19692,0.81007,0.8268,0.64965,0.71531,0.64923,0.81179,0.63443,0.69512,0.50031,0.45153,1.8459,0.96555,0.84333,0.002721,0.002721,0.002721
33,14002.2,0.41514,0.46657,0.18596,0.81621,0.9778,0.98482,0.987,0.91285,0.97754,0.98455,0.98641,0.78141,0.39895,0.65795,0.1903,0.80978,0.002712,0.002712,0.002712
34,14380.7,0.4248,0.45861,0.19151,0.81367,0.96926,0.98993,0.98958,0.91863,0.96926,0.98993,0.98958,0.78575,0.38587,0.43462,0.18178,0.80498,0.002703,0.002703,0.002703
35,14805.8,0.41961,0.4653,0.18432,0.80919,0.98439,0.99188,0.99072,0.92076,0.98439,0.99188,0.99072,0.78813,0.38103,0.42229,0.16039,0.80591,0.002694,0.002694,0.002694
36,15234.2,0.40759,0.44288,0.18077,0.81173,0.90975,0.79768,0.85162,0.77783,0.88863,0.77675,0.81631,0.60247,0.44773,3.20701,0.78888,0.83476,0.002685,0.002685,0.002685
37,15670.7,0.42609,0.46284,0.19351,0.8164,0.76599,0.6762,0.76701,0.68234,0.70871,0.63748,0.67343,0.49083,0.56259,6.05533,1.05843,0.88819,0.002676,0.002676,0.002676
38,16100.8,0.40713,0.43747,0.17953,0.81272,0.96066,0.95676,0.98056,0.89737,0.95931,0.95447,0.97933,0.76407,0.39882,0.53686,0.23321,0.81068,0.002667,0.002667,0.002667
39,16471.5,0.41697,0.45533,0.18968,0.8119,0.99171,0.99367,0.99219,0.92234,0.99171,0.99367,0.99219,0.79917,0.38647,0.43345,0.15591,0.80797,0.002658,0.002658,0.002658
40,16905.3,0.40741,0.44521,0.18328,0.81305,0.98613,0.99177,0.99114,0.92263,0.98613,0.99177,0.99114,0.79469,0.38082,0.43499,0.16248,0.80897,0.002649,0.002649,0.002649
41,17297.2,0.42547,0.47237,0.18638,0.81095,0.98971,0.9929,0.99177,0.92562,0.98971,0.9929,0.99177,0.79728,0.3782,0.42625,0.1509,0.80714,0.00264,0.00264,0.00264
42,17756.4,0.4105,0.4454,0.18261,0.81431,0.98209,0.99251,0.9892,0.92142,0.98209,0.99251,0.9892,0.79224,0.37704,0.42731,0.16193,0.80627,0.002631,0.002631,0.002631
43,18181.7,0.40615,0.44334,0.17661,0.81455,0.98924,0.99419,0.99231,0.92369,0.98924,0.99419,0.99231,0.78672,0.37836,0.41917,0.14927,0.8049,0.002622,0.002622,0.002622
44,18579.2,0.41106,0.46106,0.18173,0.81253,0.9912,0.99456,0.99238,0.92036,0.9912,0.99456,0.99238,0.7841,0.38974,0.42491,0.16197,0.80446,0.002613,0.002613,0.002613
45,18970.3,0.40264,0.44948,0.17797,0.80522,0.99026,0.99376,0.99227,0.92813,0.99026,0.99376,0.99227,0.78689,0.38052,0.42651,0.14505,0.80498,0.002604,0.002604,0.002604
46,19388.9,0.41017,0.43682,0.1792,0.81062,0.98723,0.99286,0.99149,0.92433,0.98723,0.99286,0.99149,0.79645,0.37718,0.42408,0.1534,0.80501,0.002595,0.002595,0.002595
47,19746.7,0.41121,0.44997,0.17968,0.81628,0.98784,0.99437,0.99175,0.92593,0.98784,0.99437,0.99175,0.78933,0.38252,0.42747,0.15077,0.80764,0.002586,0.002586,0.002586
48,20144.6,0.4033,0.41679,0.1793,0.80894,0.98886,0.99249,0.99153,0.92675,0.98886,0.99249,0.99153,0.7856,0.38138,0.42612,0.15332,0.80662,0.002577,0.002577,0.002577
49,20515.4,0.39244,0.42871,0.17179,0.80837,0.98823,0.99397,0.99198,0.92127,0.98823,0.99397,0.99198,0.79926,0.39699,0.42448,0.16468,0.80831,0.002568,0.002568,0.002568
